id,account,password,nickname,diamonds,gold,±¸×¢
54,12345670054,873054,cs054,100,0,
55,12345670055,453933,cs055,100,0,
56,12345670056,264728,cs056,100,0,
57,12345670057,421550,cs057,100,0,
58,12345670058,771348,cs058,100,0,
59,12345670059,202864,cs059,100,0,
60,12345670060,556686,cs060,100,0,
61,12345670061,845317,cs061,100,0,
62,12345670062,195659,cs062,100,0,
63,12345670063,965019,cs063,100,0,
64,12345670064,132887,cs064,100,0,
65,12345670065,628886,cs065,100,0,
66,12345670066,868457,cs066,100,0,
67,12345670067,429998,cs067,100,0,
68,12345670068,876028,cs068,100,0,
69,12345670069,784069,cs069,100,0,
70,12345670070,397666,cs070,100,0,
71,12345670071,793874,cs071,100,0,
72,12345670072,944361,cs072,100,0,
73,12345670073,772496,cs073,100,0,
74,12345670074,412479,cs074,100,0,
75,12345670075,963273,cs075,100,0,
76,12345670076,916173,cs076,100,0,
77,12345670077,596342,cs077,100,0,
78,12345670078,292546,cs078,100,0,
79,12345670079,609810,cs079,100,0,
80,12345670080,454281,cs080,100,0,
81,12345670081,831515,cs081,100,0,
82,12345670082,703532,cs082,100,0,
83,12345670083,880389,cs083,100,0,
84,12345670084,232087,cs084,100,0,
85,12345670085,790786,cs085,100,0,
86,12345670086,254903,cs086,100,0,
87,12345670087,254760,cs087,100,0,
88,12345670088,684265,cs088,100,0,
89,12345670089,253950,cs089,100,0,
90,12345670090,923016,cs090,100,0,
91,12345670091,859934,cs091,100,0,
92,12345670092,214586,cs092,100,0,
93,12345670093,635104,cs093,100,0,
94,12345670094,384218,cs094,100,0,
95,12345670095,310715,cs095,100,0,
96,12345670096,722610,cs096,100,0,
97,12345670097,994413,cs097,100,0,
98,12345670098,390091,cs098,100,0,
99,12345670099,393069,cs099,100,0,
100,12345670100,790419,cs100,100,0,
101,12345670101,171454,cs101,100,0,
102,12345670102,731500,cs102,100,0,
103,12345670103,413135,cs103,100,0,
104,12345670104,142455,cs104,100,0,
105,12345670105,688177,cs105,100,0,
106,12345670106,876854,cs106,100,0,
107,12345670107,573052,cs107,100,0,
108,12345670108,753933,cs108,100,0,
109,12345670109,716972,cs109,100,0,
110,12345670110,874546,cs110,100,0,
111,12345670111,864457,cs111,100,0,
112,12345670112,860923,cs112,100,0,
113,12345670113,184698,cs113,100,0,
114,12345670114,681743,cs114,100,0,
115,12345670115,779844,cs115,100,0,
116,12345670116,220919,cs116,100,0,
117,12345670117,560000,cs117,100,0,
118,12345670118,928777,cs118,100,0,
119,12345670119,719963,cs119,100,0,
120,12345670120,392312,cs120,100,0,
121,12345670121,778514,cs121,100,0,
122,12345670122,463647,cs122,100,0,
123,12345670123,257217,cs123,100,0,
124,12345670124,720874,cs124,100,0,
125,12345670125,136844,cs125,100,0,
126,12345670126,742007,cs126,100,0,
127,12345670127,975644,cs127,100,0,
128,12345670128,133289,cs128,100,0,
129,12345670129,182016,cs129,100,0,
130,12345670130,482841,cs130,100,0,
131,12345670131,520543,cs131,100,0,
132,12345670132,982193,cs132,100,0,
133,12345670133,860601,cs133,100,0,
134,12345670134,730302,cs134,100,0,
135,12345670135,459272,cs135,100,0,
136,12345670136,396494,cs136,100,0,
137,12345670137,165714,cs137,100,0,
138,12345670138,114888,cs138,100,0,
139,12345670139,441636,cs139,100,0,
140,12345670140,504584,cs140,100,0,
141,12345670141,809254,cs141,100,0,
142,12345670142,693125,cs142,100,0,
143,12345670143,644090,cs143,100,0,
144,12345670144,890280,cs144,100,0,
145,12345670145,872276,cs145,100,0,
146,12345670146,293865,cs146,100,0,
147,12345670147,160552,cs147,100,0,
148,12345670148,344704,cs148,100,0,
149,12345670149,354854,cs149,100,0,
150,12345670150,374471,cs150,100,0,
151,12345670151,769462,cs151,100,0,
152,12345670152,231833,cs152,100,0,
153,12345670153,384433,cs153,100,0,
154,12345670154,902399,cs154,100,0,
155,12345670155,785108,cs155,100,0,
156,12345670156,362070,cs156,100,0,
157,12345670157,692358,cs157,100,0,
158,12345670158,416764,cs158,100,0,
159,12345670159,636435,cs159,100,0,
160,12345670160,268394,cs160,100,0,
161,12345670161,320548,cs161,100,0,
162,12345670162,752169,cs162,100,0,
163,12345670163,980296,cs163,100,0,
164,12345670164,789561,cs164,100,0,
165,12345670165,295061,cs165,100,0,
166,12345670166,289335,cs166,100,0,
167,12345670167,100091,cs167,100,0,
168,12345670168,336456,cs168,100,0,
169,12345670169,157553,cs169,100,0,
170,12345670170,421763,cs170,100,0,
171,12345670171,284269,cs171,100,0,
172,12345670172,961961,cs172,100,0,
173,12345670173,691081,cs173,100,0,
174,12345670174,466450,cs174,100,0,
175,12345670175,168706,cs175,100,0,
176,12345670176,380079,cs176,100,0,
177,12345670177,786421,cs177,100,0,
178,12345670178,201641,cs178,100,0,
179,12345670179,866389,cs179,100,0,
180,12345670180,869991,cs180,100,0,
181,12345670181,589615,cs181,100,0,
182,12345670182,508074,cs182,100,0,
183,12345670183,788362,cs183,100,0,
184,12345670184,681723,cs184,100,0,
185,12345670185,922656,cs185,100,0,
186,12345670186,250538,cs186,100,0,
187,12345670187,962669,cs187,100,0,
188,12345670188,150507,cs188,100,0,
189,12345670189,515527,cs189,100,0,
190,12345670190,609185,cs190,100,0,
191,12345670191,269311,cs191,100,0,
192,12345670192,526480,cs192,100,0,
193,12345670193,321013,cs193,100,0,
194,12345670194,885490,cs194,100,0,
195,12345670195,868327,cs195,100,0,
196,12345670196,269003,cs196,100,0,
197,12345670197,466282,cs197,100,0,
198,12345670198,347197,cs198,100,0,
199,12345670199,204344,cs199,100,0,
200,12345670200,574989,cs200,100,0,
201,12345670201,948550,cs201,100,0,
202,12345670202,535421,cs202,100,0,
203,12345670203,863481,cs203,100,0,
204,12345670204,951021,cs204,100,0,
205,12345670205,809468,cs205,100,0,
206,12345670206,864456,cs206,100,0,
207,12345670207,607384,cs207,100,0,
208,12345670208,669663,cs208,100,0,
209,12345670209,505071,cs209,100,0,
210,12345670210,230776,cs210,100,0,
211,12345670211,628294,cs211,100,0,
212,12345670212,912133,cs212,100,0,
213,12345670213,227059,cs213,100,0,
214,12345670214,904996,cs214,100,0,
215,12345670215,611367,cs215,100,0,
216,12345670216,856672,cs216,100,0,
217,12345670217,495975,cs217,100,0,
218,12345670218,272359,cs218,100,0,
219,12345670219,170861,cs219,100,0,
220,12345670220,624829,cs220,100,0,
221,12345670221,176553,cs221,100,0,
222,12345670222,289854,cs222,100,0,
223,12345670223,534951,cs223,100,0,
224,12345670224,175595,cs224,100,0,
225,12345670225,616548,cs225,100,0,
226,12345670226,274460,cs226,100,0,
227,12345670227,302865,cs227,100,0,
228,12345670228,283424,cs228,100,0,
229,12345670229,391873,cs229,100,0,
230,12345670230,385184,cs230,100,0,
231,12345670231,419034,cs231,100,0,
232,12345670232,349381,cs232,100,0,
233,12345670233,485609,cs233,100,0,
234,12345670234,535594,cs234,100,0,
235,12345670235,514756,cs235,100,0,
236,12345670236,874824,cs236,100,0,
237,12345670237,569879,cs237,100,0,
238,12345670238,570757,cs238,100,0,
239,12345670239,645070,cs239,100,0,
240,12345670240,861752,cs240,100,0,
241,12345670241,660191,cs241,100,0,
242,12345670242,769432,cs242,100,0,
243,12345670243,144431,cs243,100,0,
244,12345670244,449950,cs244,100,0,
245,12345670245,999086,cs245,100,0,
246,12345670246,581890,cs246,100,0,
247,12345670247,330935,cs247,100,0,
248,12345670248,581882,cs248,100,0,
249,12345670249,818526,cs249,100,0,
250,12345670250,610277,cs250,100,0,
251,12345670251,915309,cs251,100,0,
252,12345670252,101532,cs252,100,0,
253,12345670253,452798,cs253,100,0,
254,12345670254,200508,cs254,100,0,
255,12345670255,812688,cs255,100,0,
256,12345670256,994208,cs256,100,0,
257,12345670257,223050,cs257,100,0,
258,12345670258,506239,cs258,100,0,
259,12345670259,108482,cs259,100,0,
260,12345670260,294326,cs260,100,0,
261,12345670261,184908,cs261,100,0,
262,12345670262,884794,cs262,100,0,
263,12345670263,854202,cs263,100,0,
264,12345670264,111712,cs264,100,0,
265,12345670265,788538,cs265,100,0,
266,12345670266,804090,cs266,100,0,
267,12345670267,536689,cs267,100,0,
268,12345670268,942760,cs268,100,0,
269,12345670269,534668,cs269,100,0,
270,12345670270,572448,cs270,100,0,
271,12345670271,671928,cs271,100,0,
272,12345670272,421400,cs272,100,0,
273,12345670273,144818,cs273,100,0,
274,12345670274,514419,cs274,100,0,
275,12345670275,958013,cs275,100,0,
276,12345670276,764619,cs276,100,0,
277,12345670277,163719,cs277,100,0,
278,12345670278,124383,cs278,100,0,
279,12345670279,977447,cs279,100,0,
280,12345670280,466500,cs280,100,0,
281,12345670281,628346,cs281,100,0,
282,12345670282,860002,cs282,100,0,
283,12345670283,146207,cs283,100,0,
284,12345670284,541621,cs284,100,0,
285,12345670285,299838,cs285,100,0,
286,12345670286,716831,cs286,100,0,
287,12345670287,822125,cs287,100,0,
288,12345670288,721436,cs288,100,0,
289,12345670289,208605,cs289,100,0,
290,12345670290,843562,cs290,100,0,
291,12345670291,243998,cs291,100,0,
292,12345670292,333532,cs292,100,0,
293,12345670293,600684,cs293,100,0,
294,12345670294,174169,cs294,100,0,
295,12345670295,720070,cs295,100,0,
296,12345670296,163796,cs296,100,0,
297,12345670297,691818,cs297,100,0,
298,12345670298,871454,cs298,100,0,
299,12345670299,595966,cs299,100,0,
300,12345670300,776811,cs300,100,0,
301,12345670301,148439,cs301,100,0,
302,12345670302,420949,cs302,100,0,
303,12345670303,483422,cs303,100,0,
304,12345670304,760418,cs304,100,0,
305,12345670305,430689,cs305,100,0,
306,12345670306,431607,cs306,100,0,
307,12345670307,236567,cs307,100,0,
308,12345670308,704906,cs308,100,0,
309,12345670309,290074,cs309,100,0,
310,12345670310,815660,cs310,100,0,
311,12345670311,105701,cs311,100,0,
312,12345670312,418998,cs312,100,0,
313,12345670313,743277,cs313,100,0,
314,12345670314,889529,cs314,100,0,
315,12345670315,108797,cs315,100,0,
316,12345670316,484074,cs316,100,0,
317,12345670317,859028,cs317,100,0,
318,12345670318,654758,cs318,100,0,
319,12345670319,914701,cs319,100,0,
320,12345670320,834570,cs320,100,0,
321,12345670321,454833,cs321,100,0,
322,12345670322,835386,cs322,100,0,
323,12345670323,558248,cs323,100,0,
324,12345670324,651590,cs324,100,0,
325,12345670325,442642,cs325,100,0,
326,12345670326,613701,cs326,100,0,
327,12345670327,663730,cs327,100,0,
328,12345670328,934599,cs328,100,0,
329,12345670329,449299,cs329,100,0,
330,12345670330,501076,cs330,100,0,
331,12345670331,939624,cs331,100,0,
332,12345670332,327752,cs332,100,0,
333,12345670333,762994,cs333,100,0,
334,12345670334,205213,cs334,100,0,
335,12345670335,515509,cs335,100,0,
336,12345670336,569075,cs336,100,0,
337,12345670337,144452,cs337,100,0,
338,12345670338,157262,cs338,100,0,
339,12345670339,527173,cs339,100,0,
340,12345670340,813787,cs340,100,0,
341,12345670341,801217,cs341,100,0,
342,12345670342,411831,cs342,100,0,
343,12345670343,985747,cs343,100,0,
344,12345670344,462144,cs344,100,0,
345,12345670345,278300,cs345,100,0,
346,12345670346,445404,cs346,100,0,
347,12345670347,345549,cs347,100,0,
348,12345670348,569695,cs348,100,0,
349,12345670349,100587,cs349,100,0,
350,12345670350,459243,cs350,100,0,
351,12345670351,846901,cs351,100,0,
352,12345670352,459445,cs352,100,0,
353,12345670353,378580,cs353,100,0,
354,12345670354,712318,cs354,100,0,
355,12345670355,955730,cs355,100,0,
356,12345670356,584953,cs356,100,0,
357,12345670357,149544,cs357,100,0,
358,12345670358,399120,cs358,100,0,
359,12345670359,939596,cs359,100,0,
360,12345670360,189987,cs360,100,0,
361,12345670361,528711,cs361,100,0,
362,12345670362,961735,cs362,100,0,
363,12345670363,213597,cs363,100,0,
364,12345670364,479898,cs364,100,0,
365,12345670365,159785,cs365,100,0,
366,12345670366,895809,cs366,100,0,
367,12345670367,624169,cs367,100,0,
368,12345670368,477925,cs368,100,0,
369,12345670369,135409,cs369,100,0,
370,12345670370,308243,cs370,100,0,
371,12345670371,955214,cs371,100,0,
372,12345670372,246867,cs372,100,0,
373,12345670373,728648,cs373,100,0,
374,12345670374,709627,cs374,100,0,
375,12345670375,998345,cs375,100,0,
376,12345670376,496346,cs376,100,0,
377,12345670377,781231,cs377,100,0,
378,12345670378,978572,cs378,100,0,
379,12345670379,960857,cs379,100,0,
380,12345670380,688006,cs380,100,0,
381,12345670381,194933,cs381,100,0,
382,12345670382,595678,cs382,100,0,
383,12345670383,139665,cs383,100,0,
384,12345670384,397185,cs384,100,0,
385,12345670385,973762,cs385,100,0,
386,12345670386,790356,cs386,100,0,
387,12345670387,900856,cs387,100,0,
388,12345670388,392786,cs388,100,0,
389,12345670389,605515,cs389,100,0,
390,12345670390,104029,cs390,100,0,
391,12345670391,123960,cs391,100,0,
392,12345670392,589026,cs392,100,0,
393,12345670393,711871,cs393,100,0,
394,12345670394,103358,cs394,100,0,
395,12345670395,917038,cs395,100,0,
396,12345670396,488786,cs396,100,0,
397,12345670397,958535,cs397,100,0,
398,12345670398,377927,cs398,100,0,
399,12345670399,876445,cs399,100,0,
400,12345670400,361583,cs400,100,0,
401,12345670401,319457,cs401,100,0,
402,12345670402,209975,cs402,100,0,
403,12345670403,880545,cs403,100,0,
404,12345670404,242425,cs404,100,0,
405,12345670405,908641,cs405,100,0,
406,12345670406,888437,cs406,100,0,
407,12345670407,725954,cs407,100,0,
408,12345670408,828162,cs408,100,0,
409,12345670409,367669,cs409,100,0,
410,12345670410,432150,cs410,100,0,
411,12345670411,834680,cs411,100,0,
412,12345670412,254187,cs412,100,0,
413,12345670413,465191,cs413,100,0,
414,12345670414,182587,cs414,100,0,
415,12345670415,504302,cs415,100,0,
416,12345670416,790423,cs416,100,0,
417,12345670417,232374,cs417,100,0,
418,12345670418,696812,cs418,100,0,
419,12345670419,924076,cs419,100,0,
420,12345670420,740568,cs420,100,0,
421,12345670421,829762,cs421,100,0,
422,12345670422,549897,cs422,100,0,
423,12345670423,645327,cs423,100,0,
424,12345670424,149548,cs424,100,0,
425,12345670425,653755,cs425,100,0,
426,12345670426,452464,cs426,100,0,
427,12345670427,709097,cs427,100,0,
428,12345670428,653211,cs428,100,0,
429,12345670429,213054,cs429,100,0,
430,12345670430,614443,cs430,100,0,
431,12345670431,334592,cs431,100,0,
432,12345670432,709075,cs432,100,0,
433,12345670433,714115,cs433,100,0,
434,12345670434,930243,cs434,100,0,
435,12345670435,350728,cs435,100,0,
436,12345670436,494645,cs436,100,0,
437,12345670437,965451,cs437,100,0,
438,12345670438,774370,cs438,100,0,
439,12345670439,539590,cs439,100,0,
440,12345670440,898647,cs440,100,0,
441,12345670441,428318,cs441,100,0,
442,12345670442,740293,cs442,100,0,
443,12345670443,949711,cs443,100,0,
444,12345670444,480578,cs444,100,0,
445,12345670445,222127,cs445,100,0,
446,12345670446,476001,cs446,100,0,
447,12345670447,280874,cs447,100,0,
448,12345670448,718376,cs448,100,0,
449,12345670449,349111,cs449,100,0,
450,12345670450,615612,cs450,100,0,
451,12345670451,412649,cs451,100,0,
452,12345670452,724308,cs452,100,0,
453,12345670453,703629,cs453,100,0,
454,12345670454,696671,cs454,100,0,
455,12345670455,757736,cs455,100,0,
456,12345670456,472900,cs456,100,0,
457,12345670457,859131,cs457,100,0,
458,12345670458,342983,cs458,100,0,
459,12345670459,759883,cs459,100,0,
460,12345670460,964744,cs460,100,0,
461,12345670461,625747,cs461,100,0,
462,12345670462,505261,cs462,100,0,
463,12345670463,682661,cs463,100,0,
464,12345670464,211457,cs464,100,0,
465,12345670465,165311,cs465,100,0,
466,12345670466,460747,cs466,100,0,
467,12345670467,997440,cs467,100,0,
468,12345670468,985417,cs468,100,0,
469,12345670469,439744,cs469,100,0,
470,12345670470,125958,cs470,100,0,
471,12345670471,178650,cs471,100,0,
472,12345670472,622279,cs472,100,0,
473,12345670473,946554,cs473,100,0,
474,12345670474,938049,cs474,100,0,
475,12345670475,426166,cs475,100,0,
476,12345670476,837045,cs476,100,0,
477,12345670477,234477,cs477,100,0,
478,12345670478,819742,cs478,100,0,
479,12345670479,846391,cs479,100,0,
480,12345670480,972346,cs480,100,0,
481,12345670481,559851,cs481,100,0,
482,12345670482,653044,cs482,100,0,
483,12345670483,985564,cs483,100,0,
484,12345670484,637248,cs484,100,0,
485,12345670485,907526,cs485,100,0,
486,12345670486,624863,cs486,100,0,
487,12345670487,912180,cs487,100,0,
488,12345670488,302822,cs488,100,0,
489,12345670489,446506,cs489,100,0,
490,12345670490,875683,cs490,100,0,
491,12345670491,358680,cs491,100,0,
492,12345670492,551734,cs492,100,0,
493,12345670493,369645,cs493,100,0,
494,12345670494,134747,cs494,100,0,
495,12345670495,195372,cs495,100,0,
496,12345670496,419002,cs496,100,0,
497,12345670497,988519,cs497,100,0,
498,12345670498,260360,cs498,100,0,
499,12345670499,297069,cs499,100,0,
500,12345670500,436583,cs500,100,0,
501,12345670501,288138,cs501,100,0,
502,12345670502,553945,cs502,100,0,
503,12345670503,400832,cs503,100,0,
504,12345670504,930447,cs504,100,0,
505,12345670505,964819,cs505,100,0,
506,12345670506,911434,cs506,100,0,
507,12345670507,918907,cs507,100,0,
508,12345670508,309238,cs508,100,0,
509,12345670509,437994,cs509,100,0,
510,12345670510,429874,cs510,100,0,
511,12345670511,504759,cs511,100,0,
512,12345670512,559091,cs512,100,0,
513,12345670513,514357,cs513,100,0,
514,12345670514,850168,cs514,100,0,
515,12345670515,326536,cs515,100,0,
516,12345670516,692014,cs516,100,0,
517,12345670517,910907,cs517,100,0,
518,12345670518,147306,cs518,100,0,
519,12345670519,745930,cs519,100,0,
520,12345670520,309468,cs520,100,0,
521,12345670521,272538,cs521,100,0,
522,12345670522,407366,cs522,100,0,
523,12345670523,144514,cs523,100,0,
524,12345670524,267419,cs524,100,0,
525,12345670525,761342,cs525,100,0,
526,12345670526,413741,cs526,100,0,
527,12345670527,314135,cs527,100,0,
528,12345670528,126866,cs528,100,0,
529,12345670529,672002,cs529,100,0,
530,12345670530,609261,cs530,100,0,
531,12345670531,963003,cs531,100,0,
532,12345670532,620896,cs532,100,0,
533,12345670533,933038,cs533,100,0,
534,12345670534,608620,cs534,100,0,
535,12345670535,133222,cs535,100,0,
536,12345670536,380127,cs536,100,0,
537,12345670537,603547,cs537,100,0,
538,12345670538,209323,cs538,100,0,
539,12345670539,757358,cs539,100,0,
540,12345670540,974093,cs540,100,0,
541,12345670541,519193,cs541,100,0,
542,12345670542,260769,cs542,100,0,
543,12345670543,360805,cs543,100,0,
544,12345670544,470551,cs544,100,0,
545,12345670545,479125,cs545,100,0,
546,12345670546,469870,cs546,100,0,
547,12345670547,120252,cs547,100,0,
548,12345670548,989845,cs548,100,0,
549,12345670549,571371,cs549,100,0,
550,12345670550,188726,cs550,100,0,
551,12345670551,644389,cs551,100,0,
552,12345670552,270921,cs552,100,0,
553,12345670553,542909,cs553,100,0,
554,12345670554,342132,cs554,100,0,
555,12345670555,215609,cs555,100,0,
556,12345670556,850547,cs556,100,0,
557,12345670557,519966,cs557,100,0,
558,12345670558,616775,cs558,100,0,
559,12345670559,674401,cs559,100,0,
560,12345670560,265161,cs560,100,0,
561,12345670561,598090,cs561,100,0,
562,12345670562,154371,cs562,100,0,
563,12345670563,166677,cs563,100,0,
564,12345670564,593407,cs564,100,0,
565,12345670565,658569,cs565,100,0,
566,12345670566,188562,cs566,100,0,
567,12345670567,532332,cs567,100,0,
568,12345670568,198202,cs568,100,0,
569,12345670569,652272,cs569,100,0,
570,12345670570,630385,cs570,100,0,
571,12345670571,999489,cs571,100,0,
572,12345670572,499172,cs572,100,0,
573,12345670573,729363,cs573,100,0,
574,12345670574,452675,cs574,100,0,
575,12345670575,119159,cs575,100,0,
576,12345670576,945459,cs576,100,0,
577,12345670577,492967,cs577,100,0,
578,12345670578,338460,cs578,100,0,
579,12345670579,216198,cs579,100,0,
580,12345670580,390240,cs580,100,0,
581,12345670581,901761,cs581,100,0,
582,12345670582,182357,cs582,100,0,
583,12345670583,959720,cs583,100,0,
584,12345670584,888993,cs584,100,0,
585,12345670585,360556,cs585,100,0,
586,12345670586,108886,cs586,100,0,
587,12345670587,940528,cs587,100,0,
588,12345670588,595357,cs588,100,0,
589,12345670589,571361,cs589,100,0,
590,12345670590,210498,cs590,100,0,
591,12345670591,563899,cs591,100,0,
592,12345670592,720327,cs592,100,0,
593,12345670593,174840,cs593,100,0,
594,12345670594,688219,cs594,100,0,
595,12345670595,486056,cs595,100,0,
596,12345670596,221090,cs596,100,0,
597,12345670597,985648,cs597,100,0,
598,12345670598,419831,cs598,100,0,
599,12345670599,174939,cs599,100,0,
600,12345670600,939968,cs600,100,0,
601,12345670601,829387,cs601,100,0,
602,12345670602,918265,cs602,100,0,
603,12345670603,153889,cs603,100,0,
604,12345670604,289535,cs604,100,0,
605,12345670605,774624,cs605,100,0,
606,12345670606,788523,cs606,100,0,
607,12345670607,902387,cs607,100,0,
608,12345670608,231238,cs608,100,0,
609,12345670609,392198,cs609,100,0,
610,12345670610,859577,cs610,100,0,
611,12345670611,210417,cs611,100,0,
612,12345670612,879625,cs612,100,0,
613,12345670613,304949,cs613,100,0,
614,12345670614,162408,cs614,100,0,
615,12345670615,335832,cs615,100,0,
616,12345670616,625391,cs616,100,0,
617,12345670617,497239,cs617,100,0,
618,12345670618,657071,cs618,100,0,
619,12345670619,762814,cs619,100,0,
620,12345670620,322203,cs620,100,0,
621,12345670621,428575,cs621,100,0,
622,12345670622,196275,cs622,100,0,
623,12345670623,482984,cs623,100,0,
624,12345670624,935440,cs624,100,0,
625,12345670625,698286,cs625,100,0,
626,12345670626,816829,cs626,100,0,
627,12345670627,530438,cs627,100,0,
628,12345670628,550934,cs628,100,0,
629,12345670629,202612,cs629,100,0,
630,12345670630,968021,cs630,100,0,
631,12345670631,197291,cs631,100,0,
632,12345670632,216380,cs632,100,0,
633,12345670633,707025,cs633,100,0,
634,12345670634,334553,cs634,100,0,
635,12345670635,217883,cs635,100,0,
636,12345670636,187468,cs636,100,0,
637,12345670637,224126,cs637,100,0,
638,12345670638,901085,cs638,100,0,
639,12345670639,169883,cs639,100,0,
640,12345670640,785757,cs640,100,0,
641,12345670641,349968,cs641,100,0,
642,12345670642,593409,cs642,100,0,
643,12345670643,325771,cs643,100,0,
644,12345670644,214413,cs644,100,0,
645,12345670645,141803,cs645,100,0,
646,12345670646,149187,cs646,100,0,
647,12345670647,311678,cs647,100,0,
648,12345670648,684950,cs648,100,0,
649,12345670649,613874,cs649,100,0,
650,12345670650,865158,cs650,100,0,
651,12345670651,512496,cs651,100,0,
652,12345670652,618368,cs652,100,0,
653,12345670653,849827,cs653,100,0,
654,12345670654,877835,cs654,100,0,
655,12345670655,165328,cs655,100,0,
656,12345670656,400170,cs656,100,0,
657,12345670657,408938,cs657,100,0,
658,12345670658,153346,cs658,100,0,
659,12345670659,293465,cs659,100,0,
660,12345670660,810653,cs660,100,0,
661,12345670661,107757,cs661,100,0,
662,12345670662,762038,cs662,100,0,
663,12345670663,712418,cs663,100,0,
664,12345670664,891735,cs664,100,0,
665,12345670665,648951,cs665,100,0,
666,12345670666,919632,cs666,100,0,
667,12345670667,695967,cs667,100,0,
668,12345670668,218119,cs668,100,0,
669,12345670669,624133,cs669,100,0,
670,12345670670,432788,cs670,100,0,
671,12345670671,346626,cs671,100,0,
672,12345670672,340133,cs672,100,0,
673,12345670673,559251,cs673,100,0,
674,12345670674,453804,cs674,100,0,
675,12345670675,300432,cs675,100,0,
676,12345670676,602888,cs676,100,0,
677,12345670677,379034,cs677,100,0,
678,12345670678,715115,cs678,100,0,
679,12345670679,832692,cs679,100,0,
680,12345670680,462058,cs680,100,0,
681,12345670681,742460,cs681,100,0,
682,12345670682,236492,cs682,100,0,
683,12345670683,167783,cs683,100,0,
684,12345670684,722283,cs684,100,0,
685,12345670685,438831,cs685,100,0,
686,12345670686,960514,cs686,100,0,
687,12345670687,801663,cs687,100,0,
688,12345670688,402530,cs688,100,0,
689,12345670689,611780,cs689,100,0,
690,12345670690,997201,cs690,100,0,
691,12345670691,938325,cs691,100,0,
692,12345670692,222247,cs692,100,0,
693,12345670693,270783,cs693,100,0,
694,12345670694,467966,cs694,100,0,
695,12345670695,459568,cs695,100,0,
696,12345670696,633576,cs696,100,0,
697,12345670697,787198,cs697,100,0,
698,12345670698,972746,cs698,100,0,
699,12345670699,629652,cs699,100,0,
700,12345670700,629062,cs700,100,0,
701,12345670701,969837,cs701,100,0,
702,12345670702,166895,cs702,100,0,
703,12345670703,316330,cs703,100,0,
704,12345670704,871897,cs704,100,0,
705,12345670705,328724,cs705,100,0,
706,12345670706,285579,cs706,100,0,
707,12345670707,160772,cs707,100,0,
708,12345670708,347255,cs708,100,0,
709,12345670709,284251,cs709,100,0,
710,12345670710,119101,cs710,100,0,
711,12345670711,222670,cs711,100,0,
712,12345670712,765249,cs712,100,0,
713,12345670713,696401,cs713,100,0,
714,12345670714,119844,cs714,100,0,
715,12345670715,671203,cs715,100,0,
716,12345670716,460195,cs716,100,0,
717,12345670717,946415,cs717,100,0,
718,12345670718,884013,cs718,100,0,
719,12345670719,623256,cs719,100,0,
720,12345670720,843240,cs720,100,0,
721,12345670721,722161,cs721,100,0,
722,12345670722,904569,cs722,100,0,
723,12345670723,203889,cs723,100,0,
724,12345670724,100709,cs724,100,0,
725,12345670725,503798,cs725,100,0,
726,12345670726,841907,cs726,100,0,
727,12345670727,467982,cs727,100,0,
728,12345670728,163658,cs728,100,0,
729,12345670729,270486,cs729,100,0,
